location,x,y,z,yaw,pitch,roll,Distance To Packoff,Distance To SPH
BufferF(46),235.9691,-650.0891,805.5103,93.26194,90.0,-180.0,942.2595268340096,1197.749794547008
BufferF(47),120.5747,-649.2197,804.5905,92.81905,90.0,-180.0,970.0939841677585,1182.9379398436793
BufferF(48),1.984672,-649.2704,804.5882,93.0962,90.0,-180.0,1012.9018284949773,1180.671354792332
BufferF(49),-111.8973,-650.0303,804.5852,92.32441,90.0,-180.0,1065.2407243477642,1190.218719938097
BufferF(50),-232.7921,-650.8715,804.5852,93.04143,90.0,-180.0,1130.7654238632829,1212.0656064990583
BufferF(51),241.6605,-649.8072,740.1954,92.09952,90.0,-180.0,890.158865241898,1159.1960134748515
BufferF(52),120.7613,-647.8525,739.4193,92.75612,90.0,-180.0,920.1547200651049,1142.1665017161588
BufferF(53),0.297224,-648.7897,738.5153,93.51662,90.0,-180.0,965.834160159154,1140.039977726009
BufferF(54),-109.5782,-649.8734,738.5144,91.84962,90.0,-180.0,1018.8682551246621,1149.8294553057988
BufferF(55),-228.6684,-650.9368,738.5123,92.21358,90.0,-180.0,1085.9667663606156,1171.9506969916013
BufferF(56),235.3629,-651.9012,672.2587,93.53577,90.0,-180.0,842.111147868516,1121.5028499162943
BufferF(57),120.5426,-649.1974,672.2421,93.0241,90.0,-180.0,872.6507336376837,1104.8562976107057
BufferF(58),3.011104,-649.8809,672.2123,92.85219,90.0,-180.0,919.8863562941341,1102.910665818505
BufferF(59),-108.68,-650.6005,672.1981,91.78896,90.0,-180.0,975.8852020525045,1112.6899675454445
BufferF(60),-230.7656,-650.1525,672.0286,92.80238,90.0,-180.0,1046.6112777200844,1134.8326853999174
BufferF(61),244.0788,-651.3343,604.6369,91.83039,90.0,-180.0,791.948527238023,1087.4317800587078
BufferF(62),123.8629,-650.0038,605.4327,92.28129,90.0,-180.0,826.4951009610338,1070.467548216334
BufferF(63),4.847463,-649.8666,605.0146,92.6236,90.0,-180.0,875.7262706495898,1067.238058250978
BufferF(64),-111.8647,-650.6202,605.0128,92.40167,90.0,-180.0,937.0193999382891,1077.8750645360658
BufferF(65),-234.9765,-650.559,605.014,93.52956,90.0,-180.0,1011.8295675646841,1101.7428736211277
BufferF(66),239.7652,-649.5829,539.1978,92.68707,90.0,-180.0,748.2003156792515,1054.048536453651
BufferF(67),118.775,-650.218,538.9711,93.27806,90.0,-180.0,786.3090861971948,1038.2011858192475
BufferF(68),4.174225,-650.5657,538.9691,92.72344,90.0,-180.0,837.0171530239916,1035.9492566300878
BufferF(69),-113.3823,-650.6361,538.9622,92.68314,90.0,-180.0,901.1162157177894,1046.498933942296
BufferF(70),-229.1904,-650.423,538.9601,92.2421,90.0,-180.0,973.9030409675636,1069.2580480504957
BufferF(71),234.6565,-648.2061,472.8373,93.67185,90.0,-180.0,707.7935414609062,1023.5996796044516
BufferF(72),122.8772,-649.4343,472.826,92.43319,90.0,-180.0,745.6541479216189,1009.2585686647935
BufferF(73),5.91995,-650.0568,472.8168,92.40921,90.0,-180.0,799.7566922778602,1006.7958789251703
BufferF(74),-110.7086,-649.8349,472.3571,92.07562,90.0,-180.0,865.4114457803395,1016.8639923755082
BufferF(75),-230.8198,-650.8952,472.3544,92.60357,90.0,-180.0,944.3307007258281,1042.2023060249512
BufferF(76),241.4253,-649.1426,406.6982,92.39969,90.0,-180.0,670.3109471875567,1001.2179211020325
BufferF(77),119.2234,-649.3631,406.6884,93.28883,90.0,-180.0,712.6537343705172,983.9348383217072
BufferF(78),3.365384,-649.324,405.7181,92.99799,90.0,-180.0,768.1399661108003,980.8498044999633
BufferF(79),-109.3455,-648.4706,405.7098,91.81434,90.0,-180.0,833.961334596078,990.4924737555333
BufferF(80),-228.9664,-652.0487,405.898,92.38931,90.0,-180.0,916.6444072813817,1018.5382396051923
BufferF(81),236.5465,-649.2716,339.3066,93.37315,90.0,-180.0,639.5582665460339,979.3012301929433
BufferF(82),121.4745,-649.0974,339.7657,92.79298,90.0,-180.0,681.4142891432124,962.5921461350875
BufferF(83),4.664364,-649.7346,339.4799,92.63047,90.0,-180.0,740.2740838397509,960.111106867867
BufferF(84),-115.6217,-650.9062,339.471,93.24625,90.0,-180.0,814.5058889706664,972.8962703677365
BufferF(85),-229.5997,-650.9504,339.4585,92.46059,90.0,-180.0,893.4844820984445,997.338011472982
BufferF(86),239.2322,-647.8674,272.1612,92.85116,90.0,-180.0,611.1794299549597,961.7825296116279
BufferF(87),118.7931,-649.3263,272.653,93.39825,90.0,-180.0,658.132776087444,945.5251808993318
BufferF(88),4.252086,-648.5234,272.3327,92.7908,90.0,-180.0,716.945345274294,941.8560983461462
BufferF(89),-109.1887,-650.5897,272.3277,91.96922,90.0,-180.0,789.4456226656652,954.7171880119139
BufferF(90),-231.8319,-651.5786,272.3214,93.07234,90.0,-180.0,876.8665219995708,982.1020010839466
BufferF(91),238.4604,-647.9869,205.7062,93.09794,90.0,-180.0,591.7556649576406,949.5516811057837
BufferF(92),121.3025,-647.6149,206.0618,92.92325,90.0,-180.0,637.0986368278476,931.6091598921654
BufferF(93),7.025033,-648.3928,205.7541,92.37016,90.0,-180.0,698.3863945363307,929.1539918908778
BufferF(94),-112.485,-649.1833,205.6845,92.64722,90.0,-180.0,775.4546225194777,941.5520019827742
BufferF(95),-227.9237,-649.9988,205.5034,92.2221,90.0,-180.0,859.181960579075,967.5275897353935
BufferF(96),235.3626,-647.2565,138.5614,93.82291,90.0,-180.0,579.1874159346727,940.4894519644397
BufferF(97),125.687,-649.7693,140.1588,92.02771,90.0,-180.0,625.1017615279064,926.3803176295338
BufferF(98),8.337236,-650.1818,139.7942,92.12716,90.0,-180.0,688.2934982322693,923.1185264171819
BufferF(99),-105.2626,-651.2529,139.7547,91.29022,90.0,-180.0,762.3078024699273,934.7878205554296
BufferF(100),-226.8101,-650.2899,139.694,91.93707,90.0,-180.0,849.8591485424897,960.0643019001311
ConveyorA,413.0825,-362.5743,57.00119,-89.29054,90.0,180.0,259.08109644733344,734.6924091498162
ConveyorB,418.9652,-103.5781,60.06334,-87.88004,90.0,180.0,0.0,532.8728561965756
ConveyorC,38.31378,269.3087,63.72554,1.245386,90.0,180.0,532.8728561965756,0.0
ConveyorD,236.794,84.0555,57.83289,91.21694,90.0,-180.0,261.52951815350116,271.5655890673759
